model_id,mean_per_class_error,auc,logloss,aucpr,rmse,mse
XGBoost_1_AutoML_1_20260613_181134,0.1375,0.921875,0.3556668527149177,0.9316833869290542,0.3318560607038009,0.1101284450258448
GBM_grid_1_AutoML_1_20260613_181134_model_3,0.1375,0.929375,0.3993835967400085,0.930132243649317,0.3472641381755488,0.1205923816628066
XGBoost_grid_1_AutoML_1_20260613_181134_model_10,0.1375,0.9215625,0.3544064256585712,0.9344325699126668,0.3336141562992164,0.111298405283238
XGBoost_grid_1_AutoML_1_20260613_181134_model_20,0.1375,0.9171875,0.3718685632462131,0.9319312716390048,0.3405683036857581,0.1159867694753947
StackedEnsemble_AllModels_4_AutoML_1_20260613_181134,0.1375,0.92125,0.3851568094276208,0.906630641527554,0.3481383095193775,0.1212002825550098
XGBoost_grid_1_AutoML_1_20260613_181134_model_16,0.1375,0.92125,0.3684383755996903,0.9352233375672928,0.3351281376791836,0.1123108686643178
XGBoost_grid_1_AutoML_1_20260613_181134_model_7,0.1375,0.926875,0.3517464277403065,0.9399310836536235,0.3269697974797842,0.1069092484639711
DeepLearning_1_AutoML_1_20260613_181134,0.15,0.8787499999999999,0.5718004310245746,0.8279267008090005,0.3670783566354348,0.1347465199101714
DeepLearning_grid_3_AutoML_1_20260613_181134_model_1,0.15,0.898125,0.4740773268490783,0.8970605173155761,0.3551888624367869,0.1261591279991387
DRF_1_AutoML_1_20260613_181134,0.15,0.9378125,0.3183010085772891,0.941323162942196,0.3253793023497807,0.10587169039763
XGBoost_grid_1_AutoML_1_20260613_181134_model_22,0.15,0.9009375,0.400592879255082,0.9258043549062894,0.3530632229613855,0.124653639407881
XGBoost_grid_1_AutoML_1_20260613_181134_model_9,0.15,0.915,0.3786419048017789,0.9306300436746368,0.3446071576572794,0.118754093108629
DeepLearning_grid_3_AutoML_1_20260613_181134_model_2,0.15,0.9,0.4402766176344771,0.9215523705250712,0.3608767378375349,0.1302320199122609
XGBoost_grid_1_AutoML_1_20260613_181134_model_1,0.15,0.905,0.4063333770134313,0.925947497831453,0.3585840789197343,0.1285825416547142
XGBoost_grid_1_AutoML_1_20260613_181134_model_23,0.15,0.9140625,0.402556846602537,0.9307139214005336,0.3539846761621716,0.1253051509576375
DeepLearning_grid_1_AutoML_1_20260613_181134_model_1,0.15,0.924375,0.6208033291269683,0.9122607510549188,0.355450606779746,0.1263451338600896
StackedEnsemble_AllModels_3_AutoML_1_20260613_181134,0.15,0.924375,0.3779140443218777,0.9122607510549188,0.3450039596390852,0.1190277321666475
XGBoost_grid_1_AutoML_1_20260613_181134_model_27,0.1624999999999999,0.9040625,0.4043628053366736,0.9250726410453256,0.3561310352635598,0.1268293142778949
XGBoost_grid_1_AutoML_1_20260613_181134_model_13,0.1625,0.8800000000000001,0.4195829070693881,0.9146458268642524,0.3618007633483276,0.1308997923594325
GBM_grid_1_AutoML_1_20260613_181134_model_7,0.1625,0.901875,0.4179163501002338,0.9195271469421,0.363084316546052,0.1318302209217137
XGBoost_grid_1_AutoML_1_20260613_181134_model_12,0.175,0.9009375,0.4135051039668554,0.9202355226884052,0.3621410448284094,0.131146136349412
XGBoost_grid_1_AutoML_1_20260613_181134_model_3,0.175,0.8931250000000001,0.4146984202573045,0.9147143208499272,0.3618280401267252,0.130919530621947
GBM_grid_1_AutoML_1_20260613_181134_model_16,0.1875,0.9009375,0.4171258985350444,0.9134736436265792,0.3625632680363614,0.1314521233292064
DeepLearning_grid_2_AutoML_1_20260613_181134_model_1,0.1875,0.8618750000000001,0.7911224880750217,0.7750933301172497,0.3824441954380536,0.1462635626242601
XGBoost_grid_1_AutoML_1_20260613_181134_model_26,0.1875,0.8596875,0.4866625463413758,0.8904608875967133,0.3953202225695164,0.1562780783724119
GBM_grid_1_AutoML_1_20260613_181134_model_14,0.1875,0.9115625,0.3916119455483663,0.9259407832701092,0.3499941471293828,0.1224959030248241
GBM_1_AutoML_1_20260613_181134,0.1875,0.91125,0.3993154039350378,0.9226649870741008,0.3546782176029012,0.1257966380419709
GBM_grid_1_AutoML_1_20260613_181134_model_6,0.1875,0.9109375,0.3961958893613015,0.9247824340442246,0.3531446455524583,0.1247111406823714
XGBoost_grid_1_AutoML_1_20260613_181134_model_33,0.2,0.8,0.6016524884813816,0.7716071043437321,0.4524930192232084,0.2047499324457348
DeepLearning_grid_2_AutoML_1_20260613_181134_model_2,0.225,0.7737499999999999,0.7955734760492505,0.6936636571771487,0.451224903459355,0.2036039135019043
DeepLearning_grid_1_AutoML_1_20260613_181134_model_3,0.3625,0.640625,3.362141002087885,0.5719200818194475,0.6411517263121012,0.4110755361529875
